,date,Temperature,Humdity,Light,HumidityRatio,PIR,Occupancy
1,2015-02-04 17:51,23.18,27.272,426,0.004792988,1,1
2,2015-02-04 17:51,23.15,27.2675,429.5,0.004783441,1,1
3,2015-02-04 17:53,23.15,27.245,426,0.004779464,1,1
4,2015-02-04 17:54,23.15,27.2,426,0.004771509,1,1
5,2015-02-04 17:55,23.1,27.2,426,0.004756993,1,1
6,2015-02-04 17:55,23.1,27.2,419,0.004756993,1,1
7,2015-02-04 17:57,23.1,27.2,419,0.004756993,1,1
8,2015-02-04 17:57,23.1,27.2,419,0.004756993,1,1
9,2015-02-04 17:58,23.1,27.2,419,0.004756993,1,1
10,2015-02-04 18:00,23.075,27.175,419,0.004745351,1,1
11,2015-02-04 18:01,23.075,27.15,419,0.004740952,1,1
12,2015-02-04 18:02,23.1,27.1,419,0.004739371,1,1
13,2015-02-04 18:03,23.1,27.16666667,419,0.004751119,1,1
14,2015-02-04 18:04,23.05,27.15,419,0.004733732,1,1
15,2015-02-04 18:04,23,27.125,419,0.004714942,1,1
16,2015-02-04 18:06,23,27.125,418.5,0.004714942,1,1
17,2015-02-04 18:07,23,27.2,0,0.004728078,1,0
18,2015-02-04 18:08,22.945,27.29,0,0.004727951,1,0
19,2015-02-04 18:08,22.945,27.39,0,0.004745408,1,0
20,2015-02-04 18:10,22.89,27.39,0,0.004729506,1,0
21,2015-02-04 18:10,22.89,27.39,0,0.004729506,1,0
22,2015-02-04 18:11,22.89,27.39,0,0.004729506,1,0
23,2015-02-04 18:13,22.89,27.445,0,0.004739076,1,0
24,2015-02-04 18:14,22.89,27.5,0,0.004748645,1,0
25,2015-02-04 18:15,22.89,27.5,0,0.004748645,1,0
26,2015-02-04 18:16,22.79,27.445,0,0.004710224,1,0
27,2015-02-04 18:16,22.79,27.5,0,0.004719735,1,0
28,2015-02-04 18:17,22.79,27.5,0,0.004719735,1,0
29,2015-02-04 18:19,22.79,27.5,0,0.004719735,1,0
30,2015-02-04 18:20,22.745,27.5,0,0.004706776,1,0
31,2015-02-04 18:21,22.7,27.46333333,0,0.004687543,1,0
32,2015-02-04 18:22,22.7,27.5,0,0.004693849,1,0
33,2015-02-04 18:23,22.7,27.5,0,0.004693849,1,0
34,2015-02-04 18:23,22.66666667,27.42666667,0,0.004671708,1,0
35,2015-02-04 18:24,22.7,27.6,0,0.004711047,1,0
36,2015-02-04 18:26,22.6,27.42666667,0,0.004652699,1,0
37,2015-02-04 18:27,22.6,27.39,0,0.004646433,1,0
38,2015-02-04 18:28,22.6,27.35666667,0,0.004640736,1,0
39,2015-02-04 18:29,22.6,27.445,0,0.004655833,1,0
40,2015-02-04 18:29,22.6,27.42666667,0,0.004652699,1,0
41,2015-02-04 18:30,22.6,27.445,0,0.004655833,1,0
42,2015-02-04 18:32,22.6,27.445,0,0.004655833,1,0
43,2015-02-04 18:33,22.6,27.39,0,0.004646433,1,0
44,2015-02-04 18:34,22.5,27.32333333,0,0.004606763,0,0
45,2015-02-04 18:35,22.5,27.445,0,0.004627429,0,0
46,2015-02-04 18:36,22.5,27.5,0,0.004636772,0,0
47,2015-02-04 18:36,22.5,27.445,0,0.004627429,0,0
48,2015-02-04 18:38,22.39,27.29,0,0.004570212,0,0
49,2015-02-04 18:39,22.5,27.5,0,0.004636772,0,0
50,2015-02-04 18:40,22.39,27.34,0,0.004578647,0,0
51,2015-02-04 18:40,22.39,27.35666667,0,0.004581459,0,0
52,2015-02-04 18:42,22.39,27.5,0,0.004605641,0,0
53,2015-02-04 18:42,22.39,27.5,0,0.004605641,0,0
54,2015-02-04 18:43,22.39,27.5,0,0.004605641,0,0
55,2015-02-04 18:45,22.39,27.39,0,0.004587082,0,0
56,2015-02-04 18:46,22.39,27.5,0,0.004605641,0,0
57,2015-02-04 18:47,22.34,27.39,0,0.00457305,0,0
58,2015-02-04 18:48,22.39,27.46333333,0,0.004599455,0,0
59,2015-02-04 18:49,22.39,27.39,0,0.004587082,0,0
60,2015-02-04 18:49,22.29,27.39,0,0.004559056,0,0
61,2015-02-04 18:51,22.34,27.39,0,0.00457305,0,0
62,2015-02-04 18:52,22.29,27.39,0,0.004559056,0,0
63,2015-02-04 18:53,22.39,27.39,0,0.004587082,0,0
64,2015-02-04 18:53,22.29,27.39,0,0.004559056,0,0
65,2015-02-04 18:55,22.29,27.35666667,0,0.004553467,0,0
66,2015-02-04 18:55,22.29,27.34,0,0.004550673,0,0
67,2015-02-04 18:56,22.29,27.39,0,0.004559056,0,0
68,2015-02-04 18:58,22.29,27.34,0,0.004550673,0,0
69,2015-02-04 18:59,22.29,27.34,0,0.004550673,0,0
70,2015-02-04 19:00,22.29,27.39,0,0.004559056,0,0
71,2015-02-04 19:01,22.29,27.29,0,0.00454229,0,0
72,2015-02-04 19:01,22.29,27.29,0,0.00454229,0,0
73,2015-02-04 19:02,22.2675,27.315,0,0.004540214,0,0
74,2015-02-04 19:04,22.2,27.29,0,0.004517288,0,0
75,2015-02-04 19:05,22.245,27.29,0,0.004529774,0,0
76,2015-02-04 19:06,22.2,27.29,0,0.004517288,0,0
77,2015-02-04 19:07,22.2,27.29,0,0.004517288,0,0
78,2015-02-04 19:08,22.2,27.29,0,0.004517288,0,0
79,2015-02-04 19:08,22.245,27.245,0,0.00452225,0,0
80,2015-02-04 19:09,22.2,27.2,0,0.004502283,0,0
81,2015-02-04 19:11,22.2,27.29,0,0.004517288,0,0
82,2015-02-04 19:12,22.2,27.29,0,0.004517288,0,0
83,2015-02-04 19:13,22.2,27.29,0,0.004517288,0,0
84,2015-02-04 19:14,22.15,27.245,0,0.004495971,0,0
85,2015-02-04 19:14,22.2,27.2,0,0.004502283,0,0
86,2015-02-04 19:15,22.15,27.245,0,0.004495971,0,0
87,2015-02-04 19:17,22.2,27.245,0,0.004509785,0,0
88,2015-02-04 19:18,22.1,27.245,0,0.004482195,0,0
