,date,Temperature,Humidity,Light,PIR,Occupancy
140,02/02/15 14:19,23.7,26.272,585.2,1,1
141,02/02/15 14:19,23.718,26.29,578.4,1,1
142,02/02/15 14:21,23.73,26.23,572.6666667,1,1
143,02/02/15 14:22,23.7225,26.125,493.75,1,1
144,02/02/15 14:23,23.754,26.2,488.6,1,1
145,02/02/15 14:23,23.76,26.26,568.6666667,1,1
146,02/02/15 14:25,23.73,26.29,536.3333333,1,1
147,02/02/15 14:25,23.754,26.29,509,1,1
148,02/02/15 14:26,23.754,26.35,476,1,1
149,02/02/15 14:28,23.736,26.39,510,1,1
150,02/02/15 14:29,23.745,26.445,481.5,1,1
151,02/02/15 14:30,23.7,26.56,481.8,1,1
152,02/02/15 14:31,23.7,26.6,475.25,1,1
153,02/02/15 14:31,23.7,26.7,469,1,1
154,02/02/15 14:32,23.7,26.774,464,1,1
155,02/02/15 14:34,23.7,26.89,464,1,1
156,02/02/15 14:35,23.7,26.9725,455,1,1
157,02/02/15 14:36,23.6,26.89,454,1,1
158,02/02/15 14:37,23.64,26.976,458,1,1
159,02/02/15 14:38,23.65,27.05,464,1,1
160,02/02/15 14:38,23.64,27.1,473,1,1
161,02/02/15 14:39,23.6,27.16,464,1,1
162,02/02/15 14:41,23.6,27.236,498.4,1,1
163,02/02/15 14:42,23.6,27.29,530.2,1,1
164,02/02/15 14:43,23.6,27.33,533.6,1,1
165,02/02/15 14:44,23.6,27.34,524.25,1,1
166,02/02/15 14:44,23.625,27.3925,498.6666667,1,1
167,02/02/15 14:45,23.6,27.39,516.3333333,1,1
168,02/02/15 14:47,23.6,27.412,501.2,1,1
169,02/02/15 14:48,23.6,27.5,522,1,1
170,02/02/15 14:49,23.6,27.525,520.5,1,1
171,02/02/15 14:50,23.6,27.6,505.2857143,1,1
172,02/02/15 14:51,23.6,27.6,488.3333333,1,1
173,02/02/15 14:51,23.6,27.54,512,1,1
174,02/02/15 14:53,23.6,27.6,511,1,1
175,02/02/15 14:54,23.61666667,27.63333333,501.5,1,1
176,02/02/15 14:55,23.66666667,27.7,503.6666667,1,1
177,02/02/15 14:55,23.6,27.7,483.1666667,1,1
178,02/02/15 14:57,23.6,27.7225,483.5,1,1
179,02/02/15 14:57,23.6,27.79,473,1,1
180,02/02/15 14:58,23.6,27.85666667,470.3333333,1,1
181,02/02/15 15:00,23.6,27.80428571,480.1428571,1,1
182,02/02/15 15:01,23.575,27.79,464,1,1
183,02/02/15 15:02,23.54,27.81,474.4,1,1
184,02/02/15 15:03,23.6,27.978,470,1,1
185,02/02/15 15:04,23.525,28,454,0,1
186,02/02/15 15:04,23.5,27.978,454,0,1
187,02/02/15 15:06,23.5,28,454,0,1
188,02/02/15 15:07,23.5,28,454,0,1
189,02/02/15 15:08,23.5,28,445,0,1
190,02/02/15 15:08,23.5,28,439,0,1
