,date,Temperature,Humidity,Light,PIR,Occupancy
1,04/02/15 17:51,23.18,27.272,426,1,1
2,04/02/15 17:51,23.15,27.2675,429.5,1,1
3,04/02/15 17:53,23.15,27.245,426,1,1
4,04/02/15 17:54,23.15,27.2,426,1,1
5,04/02/15 17:55,23.1,27.2,426,1,1
6,04/02/15 17:55,23.1,27.2,419,1,1
7,04/02/15 17:57,23.1,27.2,419,1,1
8,04/02/15 17:57,23.1,27.2,419,1,1
9,04/02/15 17:58,23.1,27.2,419,1,1
10,04/02/15 18:00,23.075,27.175,419,1,1
11,04/02/15 18:01,23.075,27.15,419,1,1
12,04/02/15 18:02,23.1,27.1,419,1,1
13,04/02/15 18:03,23.1,27.16666667,419,1,1
14,04/02/15 18:04,23.05,27.15,419,1,1
15,04/02/15 18:04,23,27.125,419,1,1
16,04/02/15 18:06,23,27.125,418.5,1,1
17,04/02/15 18:07,23,27.2,418,1,0
18,04/02/15 18:08,22.945,27.29,418,1,0
19,04/02/15 18:08,22.945,27.39,418,1,0
20,04/02/15 18:10,22.89,27.39,418,1,0
21,04/02/15 18:10,22.89,27.39,418,1,0
22,04/02/15 18:11,22.89,27.39,418,1,0
23,04/02/15 18:13,22.89,27.445,418,1,0
24,04/02/15 18:14,22.89,27.5,418,1,0
25,04/02/15 18:15,22.89,27.5,418,1,0
26,04/02/15 18:16,22.79,27.445,418,1,0
27,04/02/15 18:16,22.79,27.5,418,1,0
28,04/02/15 18:17,22.79,27.5,418,1,0
29,04/02/15 18:19,22.79,27.5,418,1,0
30,04/02/15 18:20,22.745,27.5,418,1,0
31,04/02/15 18:21,22.7,27.46333333,418,1,0
32,04/02/15 18:22,22.7,27.5,418,1,0
33,04/02/15 18:23,22.7,27.5,418,1,0
34,04/02/15 18:23,22.66666667,27.42666667,418,1,0
35,04/02/15 18:24,22.7,27.6,418,1,0
36,04/02/15 18:26,22.6,27.42666667,418,1,0
37,04/02/15 18:27,22.6,27.39,418,1,0
38,04/02/15 18:28,22.6,27.35666667,418,1,0
39,04/02/15 18:29,22.6,27.445,418,1,0
40,04/02/15 18:29,22.6,27.42666667,418,1,0
41,04/02/15 18:30,22.6,27.445,418,1,0
42,04/02/15 18:32,22.6,27.445,418,1,0
43,04/02/15 18:33,22.6,27.39,418,1,0
44,04/02/15 18:34,22.5,27.32333333,418,0,0
45,04/02/15 18:35,22.5,27.445,418,0,0
46,04/02/15 18:36,22.5,27.5,418,0,0
47,04/02/15 18:36,22.5,27.445,418,0,0
48,04/02/15 18:38,22.39,27.29,418,0,0
49,04/02/15 18:39,22.5,27.5,418,0,0
50,04/02/15 18:40,22.39,27.34,418,0,0
51,04/02/15 18:40,22.39,27.35666667,418,0,0
52,04/02/15 18:42,22.39,27.5,418,0,0
53,04/02/15 18:42,22.39,27.5,418,0,0
54,04/02/15 18:43,22.39,27.5,418,0,0
55,04/02/15 18:45,22.39,27.39,418,0,0
56,04/02/15 18:46,22.39,27.5,418,0,0
57,04/02/15 18:47,22.34,27.39,418,0,0
58,04/02/15 18:48,22.39,27.46333333,418,0,0
59,04/02/15 18:49,22.39,27.39,418,0,0
60,04/02/15 18:49,22.29,27.39,418.5,0,0
61,04/02/15 18:51,22.34,27.39,418.5,0,0
62,04/02/15 18:52,22.29,27.39,418.5,0,0
63,04/02/15 18:53,22.39,27.39,418.5,0,0
64,04/02/15 18:53,22.29,27.39,418.5,0,0
65,04/02/15 18:55,22.29,27.35666667,418.5,0,0
66,04/02/15 18:55,22.29,27.34,418.5,0,0
67,04/02/15 18:56,22.29,27.39,418.5,0,0
68,04/02/15 18:58,22.29,27.34,418.5,0,0
69,04/02/15 18:59,22.29,27.34,418.5,0,0
70,04/02/15 19:00,22.29,27.39,418.5,0,0
71,04/02/15 19:01,22.29,27.29,418.5,1,1
72,04/02/15 19:01,22.29,27.29,418.5,1,1
73,04/02/15 19:02,22.2675,27.315,418.5,1,1
74,04/02/15 19:04,22.2,27.29,418.5,1,1
75,04/02/15 19:05,22.245,27.29,418.5,1,1
76,04/02/15 19:06,22.2,27.29,418.5,1,1
77,04/02/15 19:07,22.2,27.29,418.5,1,1
78,04/02/15 19:08,22.2,27.29,418.5,1,1
79,04/02/15 19:08,22.245,27.245,418.5,1,1
80,04/02/15 19:09,22.2,27.2,418.5,1,1
81,04/02/15 19:11,22.2,27.29,418.5,1,1
82,04/02/15 19:12,22.2,27.29,418.5,1,1
83,04/02/15 19:13,22.2,27.29,418.5,1,1
84,04/02/15 19:14,22.15,27.245,418.5,0,1
85,04/02/15 19:14,22.2,27.2,418.5,0,1
86,04/02/15 19:15,22.15,27.245,418.5,0,1
87,04/02/15 19:17,22.2,27.245,418.5,0,1
88,04/02/15 19:18,22.1,27.245,418.5,1,1
89,04/02/15 19:19,22.1,27.2,418.5,1,1
90,04/02/15 19:20,22.13333333,27.2,418.5,1,1
91,04/02/15 19:21,22.2,27.2,418.5,1,1
92,04/02/15 19:21,22.1,27.2,418.5,1,1
93,04/02/15 19:23,22.125,27.2,418.5,1,1
94,04/02/15 19:24,22.2,27.2,418.5,1,1
95,04/02/15 19:25,22.1,27.15,418.5,1,1
96,04/02/15 19:25,22.1,27.2,418.5,1,1
97,04/02/15 19:27,22.1,27.2,418.5,1,1
